mask_type,comparison,distance_bin_m,n_patches,median_opt,median_baseline,median_diff_opt_minus_baseline,mean_diff_opt_minus_baseline,wilcoxon_statistic,raw_p,holm_adj_p,holm_rank_threshold,reject_holm_alpha_0_05
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(1500,3125]",86,0.07605885714292526,0.37778398394584656,-0.28508005663752556,-0.40500225517056143,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(3125,6000]",84,0.11524476110935211,0.5572673510760069,-0.46019409596920013,-0.56643247855382,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs IDW,"(6000,9000]",65,0.1135207861661911,0.6284708976745605,-0.46347975730895996,-0.7883888733610057,57.0,3.218134045002994e-11,3.218134045002994e-11,0.05,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,≤125,76,0.016787296161055565,0.033616712543249945,-0.015556388627875839,-0.0704280851741101,236.0,5.525539549671595e-10,5.525539549671595e-10,0.05,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(125,375]",81,0.022925734519958496,0.046883302438709834,-0.025863123200716653,-0.06030291914800998,141.0,8.414197177371687e-13,2.5242591532115064e-12,0.016666666666666666,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(375,750]",82,0.033884983509778976,0.07251155644446677,-0.037455626586644905,-0.10281281531428299,21.0,7.920796557904072e-15,3.168318623161629e-14,0.0125,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(750,1500]",83,0.05315747857093811,0.1463638622765277,-0.09013604355935034,-0.15979248795412404,19.0,4.988890277187154e-15,2.494445138593577e-14,0.01,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(1500,3125]",86,0.07605885714292526,0.35147007579411293,-0.23604904359334378,-0.3507469182912266,0.0,7.989098714773312e-16,5.592369100341319e-15,0.0071428571428571435,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(3125,6000]",84,0.11524476110935211,0.5086694432650691,-0.41364813406765005,-0.5381915748659596,0.0,1.7106552178285207e-15,1.0263931306971124e-14,0.008333333333333333,True
nonrainy,OPT_NORM_VIRTUAL_HOMOTOPY_CONST_INIT_LONG vs ILDW,"(6000,9000]",65,0.1135207861661911,0.6985109817749101,-0.44334882569273604,-0.8474764998842611,52.0,2.577242533618598e-11,5.154485067237196e-11,0.025,True
